10:19:57 AM-> [47]DCON READ_DI,B[9600],F[N,8,1], C[Disable], Cmd [@00], Rec [>0001]Raw [3E 30 30 30 31 ]
10:19:57 AM-> [47]DCON READ_DI_HIGH_LATCH,B[9600],F[N,8,1], C[Disable], Cmd [$00L1], Rec [!000100]Raw [21 30 30 30 31 30 30 ]
10:19:58 AM-> [31]DCON READ_DI_LOW_LATCH,B[9600],F[N,8,1], C[Disable], Cmd [$00L0], Rec [!010000]Raw [21 30 31 30 30 30 30 ]
10:19:58 AM-> [47]DCON READ_CH0_DI_COUNTER,B[9600],F[N,8,1], C[Disable], Cmd [#000], Rec [!0000000]Raw [21 30 30 30 30 30 30 30 ]
10:19:58 AM-> [46]DCON READ_DO,B[9600],F[N,8,1], C[Disable], Cmd [@00], Rec [>0001]Raw [3E 30 30 30 31 ]
10:19:58 AM-> [32]DCON READ_CH0_AO,B[9600],F[N,8,1], C[Disable], Cmd [$0080], Rec [!007FFD]Raw [21 30 30 37 46 46 44 ]
10:19:58 AM-> [46]DCON READ_CH0_LAST_AO,B[9600],F[N,8,1], C[Disable], Cmd [$0080], Rec [!007FFD]Raw [21 30 30 37 46 46 44 ]
10:19:58 AM-> [156]DCON READ_WDT_STATUS,B[9600],F[N,8,1], C[Disable], Cmd [~000], Rec [!0000]Raw [21 30 30 30 30 ]
10:19:58 AM-> [32]DCON READ_DI,B[9600],F[N,8,1], C[Disable], Cmd [@00], Rec [>0001]Raw [3E 30 30 30 31 ]
10:19:58 AM-> [46]DCON READ_DI_HIGH_LATCH,B[9600],F[N,8,1], C[Disable], Cmd [$00L1], Rec [!000100]Raw [21 30 30 30 31 30 30 ]
10:19:58 AM-> [47]DCON READ_DI_LOW_LATCH,B[9600],F[N,8,1], C[Disable], Cmd [$00L0], Rec [!010000]Raw [21 30 31 30 30 30 30 ]
10:19:58 AM-> [31]DCON READ_CH0_DI_COUNTER,B[9600],F[N,8,1], C[Disable], Cmd [#000], Rec [!0000000]Raw [21 30 30 30 30 30 30 30 ]
10:19:58 AM-> [47]DCON READ_DO,B[9600],F[N,8,1], C[Disable], Cmd [@00], Rec [>0001]Raw [3E 30 30 30 31 ]
10:19:58 AM-> [47]DCON READ_CH0_AO,B[9600],F[N,8,1], C[Disable], Cmd [$0080], Rec [!007FFD]Raw [21 30 30 37 46 46 44 ]
10:19:58 AM-> [31]DCON READ_CH0_LAST_AO,B[9600],F[N,8,1], C[Disable], Cmd [$0080], Rec [!007FFD]Raw [21 30 30 37 46 46 44 ]
10:19:58 AM-> [156]DCON READ_WDT_STATUS,B[9600],F[N,8,1], C[Disable], Cmd [~000], Rec [!0000]Raw [21 30 30 30 30 ]
10:19:58 AM-> [31]DCON READ_DI,B[9600],F[N,8,1], C[Disable], Cmd [@00], Rec [>0001]Raw [3E 30 30 30 31 ]
10:19:58 AM-> [47]DCON READ_DI_HIGH_LATCH,B[9600],F[N,8,1], C[Disable], Cmd [$00L1], Rec [!000100]Raw [21 30 30 30 31 30 30 ]
10:19:58 AM-> [47]DCON READ_DI_LOW_LATCH,B[9600],F[N,8,1], C[Disable], Cmd [$00L0], Rec [!010000]Raw [21 30 31 30 30 30 30 ]
10:19:58 AM-> [31]DCON READ_CH0_DI_COUNTER,B[9600],F[N,8,1], C[Disable], Cmd [#000], Rec [!0000000]Raw [21 30 30 30 30 30 30 30 ]
10:19:58 AM-> [47]DCON READ_DO,B[9600],F[N,8,1], C[Disable], Cmd [@00], Rec [>0001]Raw [3E 30 30 30 31 ]
10:19:59 AM-> [47]DCON READ_CH0_AO,B[9600],F[N,8,1], C[Disable], Cmd [$0080], Rec [!007FFD]Raw [21 30 30 37 46 46 44 ]
10:19:59 AM-> [31]DCON READ_CH0_LAST_AO,B[9600],F[N,8,1], C[Disable], Cmd [$0080], Rec [!007FFD]Raw [21 30 30 37 46 46 44 ]
10:19:59 AM-> [172]DCON READ_WDT_STATUS,B[9600],F[N,8,1], C[Disable], Cmd [~000], Rec [!0000]Raw [21 30 30 30 30 ]
10:19:59 AM-> [31]DCON READ_DI,B[9600],F[N,8,1], C[Disable], Cmd [@00], Rec [>0001]Raw [3E 30 30 30 31 ]
10:19:59 AM-> [47]DCON READ_DI_HIGH_LATCH,B[9600],F[N,8,1], C[Disable], Cmd [$00L1], Rec [!000100]Raw [21 30 30 30 31 30 30 ]
10:19:59 AM-> [31]DCON READ_DI_LOW_LATCH,B[9600],F[N,8,1], C[Disable], Cmd [$00L0], Rec [!010000]Raw [21 30 31 30 30 30 30 ]
10:19:59 AM-> [47]DCON READ_CH0_DI_COUNTER,B[9600],F[N,8,1], C[Disable], Cmd [#000], Rec [!0000000]Raw [21 30 30 30 30 30 30 30 ]
10:19:59 AM-> [46]DCON READ_DO,B[9600],F[N,8,1], C[Disable], Cmd [@00], Rec [>0001]Raw [3E 30 30 30 31 ]
10:19:59 AM-> [32]DCON READ_CH0_AO,B[9600],F[N,8,1], C[Disable], Cmd [$0080], Rec [!007FFD]Raw [21 30 30 37 46 46 44 ]
10:19:59 AM-> [46]DCON READ_CH0_LAST_AO,B[9600],F[N,8,1], C[Disable], Cmd [$0080], Rec [!007FFD]Raw [21 30 30 37 46 46 44 ]
10:19:59 AM-> [125]DCON READ_WDT_STATUS,B[9600],F[N,8,1], C[Disable], Cmd [~000], Rec [!0000]Raw [21 30 30 30 30 ]
10:19:59 AM-> [47]DCON READ_DI,B[9600],F[N,8,1], C[Disable], Cmd [@00], Rec [>0001]Raw [3E 30 30 30 31 ]
10:19:59 AM-> [31]DCON READ_DI_HIGH_LATCH,B[9600],F[N,8,1], C[Disable], Cmd [$00L1], Rec [!000100]Raw [21 30 30 30 31 30 30 ]
10:19:59 AM-> [47]DCON READ_DI_LOW_LATCH,B[9600],F[N,8,1], C[Disable], Cmd [$00L0], Rec [!010000]Raw [21 30 31 30 30 30 30 ]
10:19:59 AM-> [47]DCON READ_CH0_DI_COUNTER,B[9600],F[N,8,1], C[Disable], Cmd [#000], Rec [!0000000]Raw [21 30 30 30 30 30 30 30 ]
10:19:59 AM-> [47]DCON READ_DO,B[9600],F[N,8,1], C[Disable], Cmd [@00], Rec [>0001]Raw [3E 30 30 30 31 ]
10:19:59 AM-> [31]DCON READ_CH0_AO,B[9600],F[N,8,1], C[Disable], Cmd [$0080], Rec [!007FFD]Raw [21 30 30 37 46 46 44 ]
10:19:59 AM-> [47]DCON READ_CH0_LAST_AO,B[9600],F[N,8,1], C[Disable], Cmd [$0080], Rec [!007FFD]Raw [21 30 30 37 46 46 44 ]
10:20:00 AM-> [156]DCON READ_WDT_STATUS,B[9600],F[N,8,1], C[Disable], Cmd [~000], Rec [!0000]Raw [21 30 30 30 30 ]
10:20:00 AM-> [46]DCON READ_DI,B[9600],F[N,8,1], C[Disable], Cmd [@00], Rec [>0001]Raw [3E 30 30 30 31 ]
10:20:00 AM-> [32]DCON READ_DI_HIGH_LATCH,B[9600],F[N,8,1], C[Disable], Cmd [$00L1], Rec [!000100]Raw [21 30 30 30 31 30 30 ]
10:20:00 AM-> [31]DCON READ_DI_LOW_LATCH,B[9600],F[N,8,1], C[Disable], Cmd [$00L0], Rec [!010000]Raw [21 30 31 30 30 30 30 ]
10:20:00 AM-> [47]DCON READ_CH0_DI_COUNTER,B[9600],F[N,8,1], C[Disable], Cmd [#000], Rec [!0000000]Raw [21 30 30 30 30 30 30 30 ]
10:20:00 AM-> [47]DCON READ_DO,B[9600],F[N,8,1], C[Disable], Cmd [@00], Rec [>0001]Raw [3E 30 30 30 31 ]
10:20:00 AM-> [31]DCON READ_CH0_AO,B[9600],F[N,8,1], C[Disable], Cmd [$0080], Rec [!007FFD]Raw [21 30 30 37 46 46 44 ]
10:20:00 AM-> [47]DCON READ_CH0_LAST_AO,B[9600],F[N,8,1], C[Disable], Cmd [$0080], Rec [!007FFD]Raw [21 30 30 37 46 46 44 ]
10:20:00 AM-> [140]DCON READ_WDT_STATUS,B[9600],F[N,8,1], C[Disable], Cmd [~000], Rec [!0000]Raw [21 30 30 30 30 ]
10:20:00 AM-> [47]DCON READ_DI,B[9600],F[N,8,1], C[Disable], Cmd [@00], Rec [>0001]Raw [3E 30 30 30 31 ]
10:20:00 AM-> [31]DCON READ_DI_HIGH_LATCH,B[9600],F[N,8,1], C[Disable], Cmd [$00L1], Rec [!000100]Raw [21 30 30 30 31 30 30 ]
10:20:00 AM-> [47]DCON READ_DI_LOW_LATCH,B[9600],F[N,8,1], C[Disable], Cmd [$00L0], Rec [!010000]Raw [21 30 31 30 30 30 30 ]
10:20:00 AM-> [47]DCON READ_CH0_DI_COUNTER,B[9600],F[N,8,1], C[Disable], Cmd [#000], Rec [!0000000]Raw [21 30 30 30 30 30 30 30 ]
10:20:00 AM-> [31]DCON READ_DO,B[9600],F[N,8,1], C[Disable], Cmd [@00], Rec [>0001]Raw [3E 30 30 30 31 ]
10:20:00 AM-> [47]DCON READ_CH0_AO,B[9600],F[N,8,1], C[Disable], Cmd [$0080], Rec [!007FFD]Raw [21 30 30 37 46 46 44 ]
10:20:00 AM-> [47]DCON READ_CH0_LAST_AO,B[9600],F[N,8,1], C[Disable], Cmd [$0080], Rec [!007FFD]Raw [21 30 30 37 46 46 44 ]
10:20:00 AM-> [140]DCON READ_WDT_STATUS,B[9600],F[N,8,1], C[Disable], Cmd [~000], Rec [!0000]Raw [21 30 30 30 30 ]
10:20:01 AM-> [47]DCON READ_DI,B[9600],F[N,8,1], C[Disable], Cmd [@00], Rec [>0001]Raw [3E 30 30 30 31 ]
10:20:01 AM-> [47]DCON READ_DI_HIGH_LATCH,B[9600],F[N,8,1], C[Disable], Cmd [$00L1], Rec [!000100]Raw [21 30 30 30 31 30 30 ]
10:20:01 AM-> [31]DCON READ_DI_LOW_LATCH,B[9600],F[N,8,1], C[Disable], Cmd [$00L0], Rec [!010000]Raw [21 30 31 30 30 30 30 ]
10:20:01 AM-> [47]DCON READ_CH0_DI_COUNTER,B[9600],F[N,8,1], C[Disable], Cmd [#000], Rec [!0000000]Raw [21 30 30 30 30 30 30 30 ]
10:20:01 AM-> [47]DCON READ_DO,B[9600],F[N,8,1], C[Disable], Cmd [@00], Rec [>0001]Raw [3E 30 30 30 31 ]
10:20:01 AM-> [31]DCON READ_CH0_AO,B[9600],F[N,8,1], C[Disable], Cmd [$0080], Rec [!007FFD]Raw [21 30 30 37 46 46 44 ]
10:20:01 AM-> [47]DCON READ_CH0_LAST_AO,B[9600],F[N,8,1], C[Disable], Cmd [$0080], Rec [!007FFD]Raw [21 30 30 37 46 46 44 ]
10:20:01 AM-> [156]DCON READ_WDT_STATUS,B[9600],F[N,8,1], C[Disable], Cmd [~000], Rec [!0000]Raw [21 30 30 30 30 ]
10:20:01 AM-> [31]DCON READ_DI,B[9600],F[N,8,1], C[Disable], Cmd [@00], Rec [>0001]Raw [3E 30 30 30 31 ]
10:20:01 AM-> [47]DCON READ_DI_HIGH_LATCH,B[9600],F[N,8,1], C[Disable], Cmd [$00L1], Rec [!000100]Raw [21 30 30 30 31 30 30 ]
10:20:01 AM-> [31]DCON READ_DI_LOW_LATCH,B[9600],F[N,8,1], C[Disable], Cmd [$00L0], Rec [!010000]Raw [21 30 31 30 30 30 30 ]
10:20:01 AM-> [47]DCON READ_CH0_DI_COUNTER,B[9600],F[N,8,1], C[Disable], Cmd [#000], Rec [!0000000]Raw [21 30 30 30 30 30 30 30 ]
10:20:01 AM-> [46]DCON READ_DO,B[9600],F[N,8,1], C[Disable], Cmd [@00], Rec [>0001]Raw [3E 30 30 30 31 ]
10:20:01 AM-> [47]DCON READ_CH0_AO,B[9600],F[N,8,1], C[Disable], Cmd [$0080], Rec [!007FFD]Raw [21 30 30 37 46 46 44 ]
10:20:01 AM-> [31]DCON READ_CH0_LAST_AO,B[9600],F[N,8,1], C[Disable], Cmd [$0080], Rec [!007FFD]Raw [21 30 30 37 46 46 44 ]
10:20:01 AM-> [141]DCON READ_WDT_STATUS,B[9600],F[N,8,1], C[Disable], Cmd [~000], Rec [!0000]Raw [21 30 30 30 30 ]
10:20:01 AM-> [47]DCON READ_DI,B[9600],F[N,8,1], C[Disable], Cmd [@00], Rec [>0001]Raw [3E 30 30 30 31 ]
10:20:01 AM-> [31]DCON READ_DI_HIGH_LATCH,B[9600],F[N,8,1], C[Disable], Cmd [$00L1], Rec [!000100]Raw [21 30 30 30 31 30 30 ]
10:20:01 AM-> [47]DCON READ_DI_LOW_LATCH,B[9600],F[N,8,1], C[Disable], Cmd [$00L0], Rec [!010000]Raw [21 30 31 30 30 30 30 ]
10:20:02 AM-> [46]DCON READ_CH0_DI_COUNTER,B[9600],F[N,8,1], C[Disable], Cmd [#000], Rec [!0000000]Raw [21 30 30 30 30 30 30 30 ]
10:20:02 AM-> [47]DCON READ_DO,B[9600],F[N,8,1], C[Disable], Cmd [@00], Rec [>0001]Raw [3E 30 30 30 31 ]
10:20:02 AM-> [31]DCON READ_CH0_AO,B[9600],F[N,8,1], C[Disable], Cmd [$0080], Rec [!007FFD]Raw [21 30 30 37 46 46 44 ]
10:20:02 AM-> [47]DCON READ_CH0_LAST_AO,B[9600],F[N,8,1], C[Disable], Cmd [$0080], Rec [!007FFD]Raw [21 30 30 37 46 46 44 ]
10:20:02 AM-> [141]DCON READ_WDT_STATUS,B[9600],F[N,8,1], C[Disable], Cmd [~000], Rec [!0000]Raw [21 30 30 30 30 ]
10:20:02 AM-> [46]DCON READ_DI,B[9600],F[N,8,1], C[Disable], Cmd [@00], Rec [>0001]Raw [3E 30 30 30 31 ]
10:20:02 AM-> [32]DCON READ_DI_HIGH_LATCH,B[9600],F[N,8,1], C[Disable], Cmd [$00L1], Rec [!000100]Raw [21 30 30 30 31 30 30 ]
10:20:02 AM-> [46]DCON READ_DI_LOW_LATCH,B[9600],F[N,8,1], C[Disable], Cmd [$00L0], Rec [!010000]Raw [21 30 31 30 30 30 30 ]
10:20:02 AM-> [47]DCON READ_CH0_DI_COUNTER,B[9600],F[N,8,1], C[Disable], Cmd [#000], Rec [!0000000]Raw [21 30 30 30 30 30 30 30 ]
10:20:02 AM-> [31]DCON READ_DO,B[9600],F[N,8,1], C[Disable], Cmd [@00], Rec [>0001]Raw [3E 30 30 30 31 ]
10:20:02 AM-> [47]DCON READ_CH0_AO,B[9600],F[N,8,1], C[Disable], Cmd [$0080], Rec [!007FFD]Raw [21 30 30 37 46 46 44 ]
10:20:02 AM-> [47]DCON READ_CH0_LAST_AO,B[9600],F[N,8,1], C[Disable], Cmd [$0080], Rec [!007FFD]Raw [21 30 30 37 46 46 44 ]
10:20:02 AM-> [140]DCON READ_WDT_STATUS,B[9600],F[N,8,1], C[Disable], Cmd [~000], Rec [!0000]Raw [21 30 30 30 30 ]
10:20:02 AM-> [47]DCON READ_DI,B[9600],F[N,8,1], C[Disable], Cmd [@00], Rec [>0001]Raw [3E 30 30 30 31 ]
10:20:02 AM-> [31]DCON READ_DI_HIGH_LATCH,B[9600],F[N,8,1], C[Disable], Cmd [$00L1], Rec [!000100]Raw [21 30 30 30 31 30 30 ]
10:20:02 AM-> [47]DCON READ_DI_LOW_LATCH,B[9600],F[N,8,1], C[Disable], Cmd [$00L0], Rec [!010000]Raw [21 30 31 30 30 30 30 ]
10:20:02 AM-> [47]DCON READ_CH0_DI_COUNTER,B[9600],F[N,8,1], C[Disable], Cmd [#000], Rec [!0000000]Raw [21 30 30 30 30 30 30 30 ]
10:20:02 AM-> [47]DCON READ_DO,B[9600],F[N,8,1], C[Disable], Cmd [@00], Rec [>0001]Raw [3E 30 30 30 31 ]
10:20:02 AM-> [31]DCON READ_CH0_AO,B[9600],F[N,8,1], C[Disable], Cmd [$0080], Rec [!007FFD]Raw [21 30 30 37 46 46 44 ]
10:20:03 AM-> [47]DCON READ_CH0_LAST_AO,B[9600],F[N,8,1], C[Disable], Cmd [$0080], Rec [!007FFD]Raw [21 30 30 37 46 46 44 ]
10:20:03 AM-> [140]DCON READ_WDT_STATUS,B[9600],F[N,8,1], C[Disable], Cmd [~000], Rec [!0000]Raw [21 30 30 30 30 ]
10:20:03 AM-> [47]DCON READ_DI,B[9600],F[N,8,1], C[Disable], Cmd [@00], Rec [>0001]Raw [3E 30 30 30 31 ]
10:20:03 AM-> [31]DCON READ_DI_HIGH_LATCH,B[9600],F[N,8,1], C[Disable], Cmd [$00L1], Rec [!000100]Raw [21 30 30 30 31 30 30 ]
10:20:03 AM-> [47]DCON READ_DI_LOW_LATCH,B[9600],F[N,8,1], C[Disable], Cmd [$00L0], Rec [!010000]Raw [21 30 31 30 30 30 30 ]
10:20:03 AM-> [47]DCON READ_CH0_DI_COUNTER,B[9600],F[N,8,1], C[Disable], Cmd [#000], Rec [!0000000]Raw [21 30 30 30 30 30 30 30 ]
10:20:03 AM-> [47]DCON READ_DO,B[9600],F[N,8,1], C[Disable], Cmd [@00], Rec [>0001]Raw [3E 30 30 30 31 ]
10:20:03 AM-> [31]DCON READ_CH0_AO,B[9600],F[N,8,1], C[Disable], Cmd [$0080], Rec [!007FFD]Raw [21 30 30 37 46 46 44 ]
10:20:03 AM-> [47]DCON READ_CH0_LAST_AO,B[9600],F[N,8,1], C[Disable], Cmd [$0080], Rec [!007FFD]Raw [21 30 30 37 46 46 44 ]
10:20:03 AM-> [140]DCON READ_WDT_STATUS,B[9600],F[N,8,1], C[Disable], Cmd [~000], Rec [!0000]Raw [21 30 30 30 30 ]
10:20:03 AM-> [47]DCON READ_DI,B[9600],F[N,8,1], C[Disable], Cmd [@00], Rec [>0001]Raw [3E 30 30 30 31 ]
10:20:03 AM-> [47]DCON READ_DI_HIGH_LATCH,B[9600],F[N,8,1], C[Disable], Cmd [$00L1], Rec [!000100]Raw [21 30 30 30 31 30 30 ]
10:20:03 AM-> [31]DCON READ_DI_LOW_LATCH,B[9600],F[N,8,1], C[Disable], Cmd [$00L0], Rec [!010000]Raw [21 30 31 30 30 30 30 ]
10:20:03 AM-> [47]DCON READ_CH0_DI_COUNTER,B[9600],F[N,8,1], C[Disable], Cmd [#000], Rec [!0000000]Raw [21 30 30 30 30 30 30 30 ]
10:20:03 AM-> [46]DCON READ_DO,B[9600],F[N,8,1], C[Disable], Cmd [@00], Rec [>0001]Raw [3E 30 30 30 31 ]
10:20:03 AM-> [32]DCON READ_CH0_AO,B[9600],F[N,8,1], C[Disable], Cmd [$0080], Rec [!007FFD]Raw [21 30 30 37 46 46 44 ]
10:20:03 AM-> [46]DCON READ_CH0_LAST_AO,B[9600],F[N,8,1], C[Disable], Cmd [$0080], Rec [!007FFD]Raw [21 30 30 37 46 46 44 ]
10:20:04 AM-> [156]DCON READ_WDT_STATUS,B[9600],F[N,8,1], C[Disable], Cmd [~000], Rec [!0000]Raw [21 30 30 30 30 ]
10:20:04 AM-> [32]DCON READ_DI,B[9600],F[N,8,1], C[Disable], Cmd [@00], Rec [>0001]Raw [3E 30 30 30 31 ]
10:20:04 AM-> [46]DCON READ_DI_HIGH_LATCH,B[9600],F[N,8,1], C[Disable], Cmd [$00L1], Rec [!000100]Raw [21 30 30 30 31 30 30 ]
10:20:04 AM-> [32]DCON READ_DI_LOW_LATCH,B[9600],F[N,8,1], C[Disable], Cmd [$00L0], Rec [!010000]Raw [21 30 31 30 30 30 30 ]
10:20:04 AM-> [46]DCON READ_CH0_DI_COUNTER,B[9600],F[N,8,1], C[Disable], Cmd [#000], Rec [!0000000]Raw [21 30 30 30 30 30 30 30 ]
10:20:04 AM-> [47]DCON READ_DO,B[9600],F[N,8,1], C[Disable], Cmd [@00], Rec [>0001]Raw [3E 30 30 30 31 ]
10:20:04 AM-> [31]DCON READ_CH0_AO,B[9600],F[N,8,1], C[Disable], Cmd [$0080], Rec [!007FFD]Raw [21 30 30 37 46 46 44 ]
10:20:04 AM-> [47]DCON READ_CH0_LAST_AO,B[9600],F[N,8,1], C[Disable], Cmd [$0080], Rec [!007FFD]Raw [21 30 30 37 46 46 44 ]
10:20:04 AM-> [141]DCON READ_WDT_STATUS,B[9600],F[N,8,1], C[Disable], Cmd [~000], Rec [!0000]Raw [21 30 30 30 30 ]
10:20:04 AM-> [46]DCON READ_DI,B[9600],F[N,8,1], C[Disable], Cmd [@00], Rec [>0001]Raw [3E 30 30 30 31 ]
10:20:04 AM-> [32]DCON READ_DI_HIGH_LATCH,B[9600],F[N,8,1], C[Disable], Cmd [$00L1], Rec [!000100]Raw [21 30 30 30 31 30 30 ]
10:20:04 AM-> [46]DCON READ_DI_LOW_LATCH,B[9600],F[N,8,1], C[Disable], Cmd [$00L0], Rec [!010000]Raw [21 30 31 30 30 30 30 ]
10:20:04 AM-> [47]DCON READ_CH0_DI_COUNTER,B[9600],F[N,8,1], C[Disable], Cmd [#000], Rec [!0000000]Raw [21 30 30 30 30 30 30 30 ]
10:20:04 AM-> [31]DCON READ_DO,B[9600],F[N,8,1], C[Disable], Cmd [@00], Rec [>0001]Raw [3E 30 30 30 31 ]
10:20:04 AM-> [47]DCON READ_CH0_AO,B[9600],F[N,8,1], C[Disable], Cmd [$0080], Rec [!007FFD]Raw [21 30 30 37 46 46 44 ]
10:20:04 AM-> [47]DCON READ_CH0_LAST_AO,B[9600],F[N,8,1], C[Disable], Cmd [$0080], Rec [!007FFD]Raw [21 30 30 37 46 46 44 ]
10:20:04 AM-> [140]DCON READ_WDT_STATUS,B[9600],F[N,8,1], C[Disable], Cmd [~000], Rec [!0000]Raw [21 30 30 30 30 ]
10:20:04 AM-> [47]DCON READ_DI,B[9600],F[N,8,1], C[Disable], Cmd [@00], Rec [>0001]Raw [3E 30 30 30 31 ]
10:20:04 AM-> [31]DCON READ_DI_HIGH_LATCH,B[9600],F[N,8,1], C[Disable], Cmd [$00L1], Rec [!000100]Raw [21 30 30 30 31 30 30 ]
10:20:05 AM-> [47]DCON READ_DI_LOW_LATCH,B[9600],F[N,8,1], C[Disable], Cmd [$00L0], Rec [!010000]Raw [21 30 31 30 30 30 30 ]
10:20:05 AM-> [47]DCON READ_CH0_DI_COUNTER,B[9600],F[N,8,1], C[Disable], Cmd [#000], Rec [!0000000]Raw [21 30 30 30 30 30 30 30 ]
10:20:05 AM-> [47]DCON READ_DO,B[9600],F[N,8,1], C[Disable], Cmd [@00], Rec [>0001]Raw [3E 30 30 30 31 ]
10:20:05 AM-> [31]DCON READ_CH0_AO,B[9600],F[N,8,1], C[Disable], Cmd [$0080], Rec [!007FFD]Raw [21 30 30 37 46 46 44 ]
10:20:05 AM-> [47]DCON READ_CH0_LAST_AO,B[9600],F[N,8,1], C[Disable], Cmd [$0080], Rec [!007FFD]Raw [21 30 30 37 46 46 44 ]
10:20:05 AM-> [140]DCON READ_WDT_STATUS,B[9600],F[N,8,1], C[Disable], Cmd [~000], Rec [!0000]Raw [21 30 30 30 30 ]
10:20:05 AM-> [47]DCON READ_DI,B[9600],F[N,8,1], C[Disable], Cmd [@00], Rec [>0001]Raw [3E 30 30 30 31 ]
10:20:05 AM-> [47]DCON READ_DI_HIGH_LATCH,B[9600],F[N,8,1], C[Disable], Cmd [$00L1], Rec [!000100]Raw [21 30 30 30 31 30 30 ]
10:20:05 AM-> [31]DCON READ_DI_LOW_LATCH,B[9600],F[N,8,1], C[Disable], Cmd [$00L0], Rec [!010000]Raw [21 30 31 30 30 30 30 ]
10:20:05 AM-> [47]DCON READ_CH0_DI_COUNTER,B[9600],F[N,8,1], C[Disable], Cmd [#000], Rec [!0000000]Raw [21 30 30 30 30 30 30 30 ]
10:20:05 AM-> [47]DCON READ_DO,B[9600],F[N,8,1], C[Disable], Cmd [@00], Rec [>0001]Raw [3E 30 30 30 31 ]
10:20:05 AM-> [31]DCON READ_CH0_AO,B[9600],F[N,8,1], C[Disable], Cmd [$0080], Rec [!007FFD]Raw [21 30 30 37 46 46 44 ]
10:20:05 AM-> [47]DCON READ_CH0_LAST_AO,B[9600],F[N,8,1], C[Disable], Cmd [$0080], Rec [!007FFD]Raw [21 30 30 37 46 46 44 ]
10:20:05 AM-> [156]DCON READ_WDT_STATUS,B[9600],F[N,8,1], C[Disable], Cmd [~000], Rec [!0000]Raw [21 30 30 30 30 ]
10:20:05 AM-> [31]DCON READ_DI,B[9600],F[N,8,1], C[Disable], Cmd [@00], Rec [>0001]Raw [3E 30 30 30 31 ]
10:20:05 AM-> [47]DCON READ_DI_HIGH_LATCH,B[9600],F[N,8,1], C[Disable], Cmd [$00L1], Rec [!000100]Raw [21 30 30 30 31 30 30 ]
10:20:05 AM-> [46]DCON READ_DI_LOW_LATCH,B[9600],F[N,8,1], C[Disable], Cmd [$00L0], Rec [!010000]Raw [21 30 31 30 30 30 30 ]
10:20:05 AM-> [32]DCON READ_CH0_DI_COUNTER,B[9600],F[N,8,1], C[Disable], Cmd [#000], Rec [!0000000]Raw [21 30 30 30 30 30 30 30 ]
10:20:05 AM-> [46]DCON READ_DO,B[9600],F[N,8,1], C[Disable], Cmd [@00], Rec [>0001]Raw [3E 30 30 30 31 ]
10:20:06 AM-> [47]DCON READ_CH0_AO,B[9600],F[N,8,1], C[Disable], Cmd [$0080], Rec [!007FFD]Raw [21 30 30 37 46 46 44 ]
10:20:06 AM-> [31]DCON READ_CH0_LAST_AO,B[9600],F[N,8,1], C[Disable], Cmd [$0080], Rec [!007FFD]Raw [21 30 30 37 46 46 44 ]
10:20:06 AM-> [141]DCON READ_WDT_STATUS,B[9600],F[N,8,1], C[Disable], Cmd [~000], Rec [!0000]Raw [21 30 30 30 30 ]
10:20:06 AM-> [47]DCON READ_DI,B[9600],F[N,8,1], C[Disable], Cmd [@00], Rec [>0001]Raw [3E 30 30 30 31 ]
10:20:06 AM-> [46]DCON READ_DI_HIGH_LATCH,B[9600],F[N,8,1], C[Disable], Cmd [$00L1], Rec [!000100]Raw [21 30 30 30 31 30 30 ]
10:20:06 AM-> [32]DCON READ_DI_LOW_LATCH,B[9600],F[N,8,1], C[Disable], Cmd [$00L0], Rec [!010000]Raw [21 30 31 30 30 30 30 ]
10:20:06 AM-> [46]DCON READ_CH0_DI_COUNTER,B[9600],F[N,8,1], C[Disable], Cmd [#000], Rec [!0000000]Raw [21 30 30 30 30 30 30 30 ]
10:20:06 AM-> [47]DCON READ_DO,B[9600],F[N,8,1], C[Disable], Cmd [@00], Rec [>0001]Raw [3E 30 30 30 31 ]
10:20:06 AM-> [31]DCON READ_CH0_AO,B[9600],F[N,8,1], C[Disable], Cmd [$0080], Rec [!007FFD]Raw [21 30 30 37 46 46 44 ]
10:20:06 AM-> [47]DCON READ_CH0_LAST_AO,B[9600],F[N,8,1], C[Disable], Cmd [$0080], Rec [!007FFD]Raw [21 30 30 37 46 46 44 ]
10:20:06 AM-> [156]DCON READ_WDT_STATUS,B[9600],F[N,8,1], C[Disable], Cmd [~000], Rec [!0000]Raw [21 30 30 30 30 ]
10:20:06 AM-> [31]DCON READ_DI,B[9600],F[N,8,1], C[Disable], Cmd [@00], Rec [>0001]Raw [3E 30 30 30 31 ]
10:20:06 AM-> [47]DCON READ_DI_HIGH_LATCH,B[9600],F[N,8,1], C[Disable], Cmd [$00L1], Rec [!000100]Raw [21 30 30 30 31 30 30 ]
10:20:06 AM-> [47]DCON READ_DI_LOW_LATCH,B[9600],F[N,8,1], C[Disable], Cmd [$00L0], Rec [!010000]Raw [21 30 31 30 30 30 30 ]
10:20:06 AM-> [31]DCON READ_CH0_DI_COUNTER,B[9600],F[N,8,1], C[Disable], Cmd [#000], Rec [!0000000]Raw [21 30 30 30 30 30 30 30 ]
10:20:06 AM-> [31]DCON READ_DO,B[9600],F[N,8,1], C[Disable], Cmd [@00], Rec [>0001]Raw [3E 30 30 30 31 ]
10:20:06 AM-> [47]DCON READ_CH0_AO,B[9600],F[N,8,1], C[Disable], Cmd [$0080], Rec [!007FFD]Raw [21 30 30 37 46 46 44 ]
